Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
7.1,17.3,-99.6,33.0,revisado,1962-05-11 08:11:57,1962-05-11 14:11:57,GRO,34,SUR,CHILPANCINGO
7.0,17.1,-99.6,33.0,revisado,1962-05-19 08:58:10,1962-05-19 14:58:10,GRO,41,NOROESTE,SAN MARCOS
6.5,29.7,-113.7,7.0,revisado,1963-11-18 08:38:26,1963-11-18 14:38:26,SON,182,SUR,PUERTO PEÑASCO
6.5,26.3,-110.3,10.0,revisado,1964-07-05 20:14:37,1964-07-06 02:14:37,SON,85,SUROESTE,HUATABAMPO
7.2,18.0,-100.8,55.0,revisado,1964-07-06 01:22:13,1964-07-06 07:22:13,GRO,38,SUROESTE,CD ALTAMIRANO
7.4,16.2,-95.9,12.0,revisado,1965-08-23 13:46:02,1965-08-23 19:46:02,OAX,53,NORESTE,CRUCECITA
6.5,17.2,-100.1,65.0,revisado,1965-12-09 00:07:51,1965-12-09 06:07:51,GRO,27,NORTE,COYUCA DE BENITEZ
6.7,17.5,-100.3,62.0,revisado,1968-07-01 21:44:52,1968-07-02 03:44:52,GRO,38,NORESTE,ATOYAC DE ALVAREZ
7.3,16.6,-97.8,16.0,revisado,1968-08-02 08:06:37,1968-08-02 14:06:37,OAX,39,NORESTE,PINOTEPA NACIONAL
6.6,15.2,-94.8,23.0,revisado,1968-11-28 04:36:08,1968-11-28 10:36:08,OAX,114,SURESTE,SALINA CRUZ
6.5,25.3,-109.2,15.0,revisado,1969-08-17 14:13:09,1969-08-17 20:13:09,SIN,65,SUROESTE,LOS MOCHIS
6.7,25.1,-109.6,15.0,revisado,1969-08-17 14:15:00,1969-08-17 20:15:00,SIN,93,SUROESTE,LOS MOCHIS
6.6,23.1,-108.0,10.0,revisado,1969-11-01 05:08:22,1969-11-01 11:08:22,SIN,144,SUROESTE,LA CRUZ
6.6,15.5,-99.5,21.0,revisado,1970-02-03 23:08:50,1970-02-04 05:08:50,GRO,141,SUR,SAN MARCOS
7.3,14.5,-92.7,44.0,revisado,1970-04-29 08:01:34,1970-04-29 14:01:34,CHIS,62,SUROESTE,CD HIDALGO
6.5,14.6,-93.3,22.0,revisado,1970-04-30 02:32:58,1970-04-30 08:32:58,CHIS,100,SUROESTE,MAPASTEPEC
6.5,26.9,-110.8,14.0,revisado,1971-09-30 02:18:00,1971-09-30 08:18:00,SON,92,SUROESTE,PUEBLO YAQUI
6.6,18.7,-106.8,10.0,revisado,1972-10-20 02:17:46,1972-10-20 08:17:46,JAL,238,OESTE,CIHUATLAN
6.5,15.5,-95.0,14.0,revisado,1972-11-12 22:43:45,1972-11-13 04:43:45,OAX,73,SUR,SALINA CRUZ
7.6,18.4,-103.0,24.0,revisado,1973-01-30 15:01:12,1973-01-30 21:01:12,MICH,43,SURESTE,COALCOMAN
6.5,29.3,-113.5,5.0,revisado,1975-07-08 03:37:25,1975-07-08 09:37:25,BCS,160,NORESTE,GUERRERO NEGRO
7.5,15.3,-89.2,13.0,revisado,1976-02-04 03:01:46,1976-02-04 09:01:46,CHIS,319,ESTE,FRONTERA COMALAPA
6.5,17.4,-100.7,57.0,revisado,1976-06-07 08:26:42,1976-06-07 14:26:42,GRO,21,NOROESTE,TECPAN
6.6,17.0,-99.7,44.0,revisado,1978-03-18 19:39:16,1978-03-19 01:39:16,GRO,24,NORESTE,ACAPULCO
6.5,12.8,-87.3,49.0,revisado,1978-05-30 19:07:21,1978-05-31 01:07:21,CHIS,567,SURESTE,CD HIDALGO
7.6,16.0,-96.6,23.0,revisado,1978-11-29 13:52:50,1978-11-29 19:52:50,OAX,32,NOROESTE,S PEDRO POCHUTLA
6.6,17.4,-100.9,23.0,revisado,1979-01-26 04:04:31,1979-01-26 10:04:31,GRO,34,NOROESTE,TECPAN
7.4,17.8,-101.3,25.0,revisado,1979-03-14 05:07:15,1979-03-14 11:07:15,GRO,24,NORTE,PETATLAN
6.5,32.8,-115.7,14.0,revisado,1979-10-15 17:17:00,1979-10-15 23:17:00,BC,19,NOROESTE,SANTA ISABEL
6.8,13.9,-90.9,64.0,revisado,1979-10-27 08:36:00,1979-10-27 14:36:00,CHIS,167,SURESTE,CD HIDALGO
